state,state_code,year,race,race_code,education,education_code,region,births,avg_birth_weight_g,sd_birth_weight_g,avg_mother_age,sd_mother_age,avg_gestational_age_wks,sd_gestational_age_wks
Connecticut,09,2016,American Indian or Alaska Native,1002-5,8th grade or less,1,Northeast,12,3096.17,536.31,30.33,4.29,37.08,3.9
Connecticut,09,2016,Asian,A,8th grade or less,1,Northeast,50,3284.66,438.59,30.48,6.91,38.84,2.33
Connecticut,09,2016,Black or African American,2054-5,8th grade or less,1,Northeast,78,3229.46,574.22,30.12,7.31,38.68,3.03
Connecticut,09,2016,Native Hawaiian or Other Pacific Islander,NHOPI,8th grade or less,1,Northeast,,3462.33,263.37,31.33,4.5,38.0,1.63
Connecticut,09,2016,White,2106-3,8th grade or less,1,Northeast,655,3297.35,577.87,29.95,6.54,38.54,2.61
Connecticut,09,2016,More than one race,M,8th grade or less,1,Northeast,14,3272.21,552.75,27.0,6.37,37.21,2.88
Connecticut,09,2017,American Indian or Alaska Native,1002-5,8th grade or less,1,Northeast,,3367.67,792.7,28.22,5.09,37.56,3.62
Connecticut,09,2017,Asian,A,8th grade or less,1,Northeast,50,3078.6,817.81,30.64,6.35,38.06,4.21
Connecticut,09,2017,Black or African American,2054-5,8th grade or less,1,Northeast,91,3229.65,601.9,32.13,7.57,38.71,2.97
Connecticut,09,2017,Native Hawaiian or Other Pacific Islander,NHOPI,8th grade or less,1,Northeast,0,0.0,0.0,0.0,0.0,0.0,0.0
Connecticut,09,2017,White,2106-3,8th grade or less,1,Northeast,668,3275.01,608.85,30.28,6.21,38.62,2.69
Connecticut,09,2017,More than one race,M,8th grade or less,1,Northeast,24,3322.13,408.24,28.58,6.37,37.92,4.63
Connecticut,09,2018,American Indian or Alaska Native,1002-5,8th grade or less,1,Northeast,25,3448.44,591.22,30.8,7.13,38.24,1.56
Connecticut,09,2018,Asian,A,8th grade or less,1,Northeast,43,3230.42,582.9,32.72,5.78,38.88,3.45
Connecticut,09,2018,Black or African American,2054-5,8th grade or less,1,Northeast,64,3200.11,500.52,30.89,6.33,38.52,2.77
Connecticut,09,2018,Native Hawaiian or Other Pacific Islander,NHOPI,8th grade or less,1,Northeast,0,0.0,0.0,0.0,0.0,0.0,0.0
Connecticut,09,2018,White,2106-3,8th grade or less,1,Northeast,606,3277.66,567.54,31.0,6.06,38.53,2.5
Connecticut,09,2018,More than one race,M,8th grade or less,1,Northeast,28,3361.75,472.37,27.93,4.97,38.82,1.79
Connecticut,09,2019,American Indian or Alaska Native,1002-5,8th grade or less,1,Northeast,37,3321.57,494.2,31.89,5.55,39.03,2.14
Connecticut,09,2019,Asian,A,8th grade or less,1,Northeast,31,3267.42,555.39,31.42,6.19,38.61,2.42
Connecticut,09,2019,Black or African American,2054-5,8th grade or less,1,Northeast,71,3192.58,629.57,30.3,6.63,37.94,2.92
Connecticut,09,2019,Native Hawaiian or Other Pacific Islander,NHOPI,8th grade or less,1,Northeast,0,0.0,0.0,0.0,0.0,0.0,0.0
Connecticut,09,2019,White,2106-3,8th grade or less,1,Northeast,567,3262.73,531.71,30.6,6.27,38.77,2.46
Connecticut,09,2019,More than one race,M,8th grade or less,1,Northeast,23,3418.22,485.04,29.13,5.36,38.48,1.81
Connecticut,09,2020,American Indian or Alaska Native,1002-5,8th grade or less,1,Northeast,27,3212.04,590.17,30.19,5.97,37.96,2.5
Connecticut,09,2020,Asian,A,8th grade or less,1,Northeast,36,3272.72,506.88,30.78,5.27,38.69,1.94
Connecticut,09,2020,Black or African American,2054-5,8th grade or less,1,Northeast,80,3174.99,511.32,30.14,8.27,38.5,2.7
Connecticut,09,2020,Native Hawaiian or Other Pacific Islander,NHOPI,8th grade or less,1,Northeast,,3061.5,198.5,33.5,4.5,39.0,1.0
Connecticut,09,2020,White,2106-3,8th grade or less,1,Northeast,609,3270.12,570.06,31.25,6.59,38.48,2.69
Connecticut,09,2020,More than one race,M,8th grade or less,1,Northeast,26,3388.81,497.29,28.12,4.42,38.38,2.13
Connecticut,09,2021,American Indian or Alaska Native,1002-5,8th grade or less,1,Northeast,37,3232.76,582.49,31.27,7.35,38.68,2.53
Connecticut,09,2021,Asian,A,8th grade or less,1,Northeast,28,3165.29,576.66,32.39,4.51,38.46,2.87
Connecticut,09,2021,Black or African American,2054-5,8th grade or less,1,Northeast,78,3086.15,653.85,29.9,7.07,38.62,2.86
Connecticut,09,2021,Native Hawaiian or Other Pacific Islander,NHOPI,8th grade or less,1,Northeast,,4026.0,0.0,32.0,0.0,39.0,0.0
Connecticut,09,2021,White,2106-3,8th grade or less,1,Northeast,649,3240.71,593.01,30.48,6.78,38.45,2.78
Connecticut,09,2021,More than one race,M,8th grade or less,1,Northeast,30,3564.67,458.03,29.43,5.9,39.41,1.69
Connecticut,09,2022,American Indian or Alaska Native,1002-5,8th grade or less,1,Northeast,42,3209.05,586.38,29.79,6.86,38.52,3.4
Connecticut,09,2022,Asian,A,8th grade or less,1,Northeast,41,3305.32,515.47,30.07,5.1,38.71,1.92
Connecticut,09,2022,Black or African American,2054-5,8th grade or less,1,Northeast,94,3155.44,565.13,30.27,7.37,38.33,3.08
Connecticut,09,2022,Native Hawaiian or Other Pacific Islander,NHOPI,8th grade or less,1,Northeast,,3670.0,0.0,36.0,0.0,39.0,0.0
Connecticut,09,2022,White,2106-3,8th grade or less,1,Northeast,662,3264.21,556.9,30.4,6.64,38.6,2.72
Connecticut,09,2022,More than one race,M,8th grade or less,1,Northeast,32,3540.59,571.45,29.91,5.22,38.38,2.12
Connecticut,09,2023,American Indian or Alaska Native,1002-5,8th grade or less,1,Northeast,33,3352.91,613.44,31.67,6.8,38.24,3.0
Connecticut,09,2023,Asian,A,8th grade or less,1,Northeast,28,3149.93,613.73,30.29,4.91,37.89,2.4
Connecticut,09,2023,Black or African American,2054-5,8th grade or less,1,Northeast,78,3194.13,547.38,31.55,6.09,38.44,2.2
Connecticut,09,2023,Native Hawaiian or Other Pacific Islander,NHOPI,8th grade or less,1,Northeast,,2820.0,270.0,38.5,2.5,40.0,1.0
Connecticut,09,2023,White,2106-3,8th grade or less,1,Northeast,684,3278.55,518.63,30.17,6.61,38.57,2.59
Connecticut,09,2023,More than one race,M,8th grade or less,1,Northeast,59,3337.0,486.05,30.92,6.05,38.63,2.58
Connecticut,09,2024,American Indian or Alaska Native,1002-5,8th grade or less,1,Northeast,29,3279.14,446.65,30.76,7.17,38.59,1.54
Connecticut,09,2024,Asian,A,8th grade or less,1,Northeast,22,3144.5,625.14,32.05,5.76,38.36,3.16
Connecticut,09,2024,Black or African American,2054-5,8th grade or less,1,Northeast,92,3180.95,731.15,32.11,6.87,38.12,3.13
Connecticut,09,2024,Native Hawaiian or Other Pacific Islander,NHOPI,8th grade or less,1,Northeast,,3062.0,0.0,44.0,0.0,38.0,0.0
Connecticut,09,2024,White,2106-3,8th grade or less,1,Northeast,661,3230.69,574.22,29.93,6.91,38.45,2.74
Connecticut,09,2024,More than one race,M,8th grade or less,1,Northeast,58,3255.78,548.2,29.95,6.1,38.55,2.05
Maine,23,2016,American Indian or Alaska Native,1002-5,8th grade or less,1,Northeast,0,0.0,0.0,0.0,0.0,0.0,0.0
Maine,23,2016,Asian,A,8th grade or less,1,Northeast,,2944.25,373.03,30.25,3.49,37.75,1.09
Maine,23,2016,Black or African American,2054-5,8th grade or less,1,Northeast,63,3238.94,443.29,32.25,5.52,38.94,2.22
Maine,23,2016,Native Hawaiian or Other Pacific Islander,NHOPI,8th grade or less,1,Northeast,0,0.0,0.0,0.0,0.0,0.0,0.0
Maine,23,2016,White,2106-3,8th grade or less,1,Northeast,92,3295.93,686.27,28.08,6.58,38.73,2.06
Maine,23,2016,More than one race,M,8th grade or less,1,Northeast,,3474.67,195.48,24.33,4.19,37.67,3.3
Maine,23,2017,American Indian or Alaska Native,1002-5,8th grade or less,1,Northeast,0,0.0,0.0,0.0,0.0,0.0,0.0
Maine,23,2017,Asian,A,8th grade or less,1,Northeast,,3481.8,329.5,33.6,4.08,39.0,1.1
Maine,23,2017,Black or African American,2054-5,8th grade or less,1,Northeast,96,3274.06,615.7,32.93,6.23,39.03,2.45
Maine,23,2017,Native Hawaiian or Other Pacific Islander,NHOPI,8th grade or less,1,Northeast,0,0.0,0.0,0.0,0.0,0.0,0.0
Maine,23,2017,White,2106-3,8th grade or less,1,Northeast,100,3271.39,711.59,28.96,7.13,38.33,2.61
Maine,23,2017,More than one race,M,8th grade or less,1,Northeast,,2682.67,266.91,27.67,3.09,37.67,1.25
Maine,23,2018,American Indian or Alaska Native,1002-5,8th grade or less,1,Northeast,,3487.0,0.0,25.0,0.0,40.0,0.0
Maine,23,2018,Asian,A,8th grade or less,1,Northeast,,3341.75,391.83,37.5,2.06,38.0,2.35
Maine,23,2018,Black or African American,2054-5,8th grade or less,1,Northeast,65,3324.63,568.68,33.17,5.51,38.83,2.44
