state,state_code,year,education,education_code,region,births,avg_birth_weight_g,sd_birth_weight_g,avg_mother_age,sd_mother_age,avg_gestational_age_wks,sd_gestational_age_wks
Connecticut,09,2016,8th grade or less,1,Northeast,812,3287.25,568.97,29.96,6.62,38.53,2.68
Connecticut,09,2017,8th grade or less,1,Northeast,842,3260.71,622.22,30.43,6.41,38.57,2.92
Connecticut,09,2018,8th grade or less,1,Northeast,766,3277.18,562.34,30.97,6.12,38.55,2.54
Connecticut,09,2019,8th grade or less,1,Northeast,729,3263.99,541.15,30.62,6.25,38.68,2.49
Connecticut,09,2020,8th grade or less,1,Northeast,780,3261.89,560.67,30.98,6.68,38.47,2.63
Connecticut,09,2021,8th grade or less,1,Northeast,823,3235.91,599.22,30.49,6.76,38.51,2.76
Connecticut,09,2022,8th grade or less,1,Northeast,872,3262.37,561.61,30.33,6.62,38.56,2.74
Connecticut,09,2023,8th grade or less,1,Northeast,884,3272.66,527.73,30.42,6.51,38.53,2.57
Connecticut,09,2024,8th grade or less,1,Northeast,863,3226.31,589.08,30.26,6.89,38.42,2.73
Connecticut,09,2016,9th through 12th grade with no diploma,2,Northeast,2805,3196.71,598.27,26.17,6.6,38.55,2.7
Connecticut,09,2017,9th through 12th grade with no diploma,2,Northeast,2732,3184.52,593.62,26.12,6.64,38.55,2.83
Connecticut,09,2018,9th through 12th grade with no diploma,2,Northeast,2484,3178.39,623.06,26.3,6.75,38.42,2.83
Connecticut,09,2019,9th through 12th grade with no diploma,2,Northeast,2393,3180.92,602.26,26.44,6.84,38.53,2.69
Connecticut,09,2020,9th through 12th grade with no diploma,2,Northeast,2297,3195.39,613.43,26.61,6.94,38.47,2.81
Connecticut,09,2021,9th through 12th grade with no diploma,2,Northeast,2256,3158.8,600.79,26.6,6.78,38.42,2.7
Connecticut,09,2022,9th through 12th grade with no diploma,2,Northeast,2096,3163.24,595.67,26.71,6.99,38.39,2.77
Connecticut,09,2023,9th through 12th grade with no diploma,2,Northeast,2154,3169.42,609.25,26.95,6.91,38.34,2.81
Connecticut,09,2024,9th through 12th grade with no diploma,2,Northeast,2106,3158.81,573.74,26.94,6.96,38.39,2.57
Connecticut,09,2016,High school graduate or GED completed,3,Northeast,6688,3228.1,610.37,27.61,5.85,38.62,2.65
Connecticut,09,2017,High school graduate or GED completed,3,Northeast,6390,3227.08,609.19,27.6,5.75,38.63,2.68
Connecticut,09,2018,High school graduate or GED completed,3,Northeast,6587,3233.5,596.89,27.89,5.77,38.58,2.75
Connecticut,09,2019,High school graduate or GED completed,3,Northeast,6437,3239.05,601.39,27.98,5.83,38.62,2.62
Connecticut,09,2020,High school graduate or GED completed,3,Northeast,6570,3224.83,610.66,27.92,5.83,38.56,2.73
Connecticut,09,2021,High school graduate or GED completed,3,Northeast,6563,3213.72,629.49,27.96,5.71,38.49,2.73
Connecticut,09,2022,High school graduate or GED completed,3,Northeast,6763,3204.02,610.48,28.31,5.86,38.5,2.65
Connecticut,09,2023,High school graduate or GED completed,3,Northeast,6721,3199.96,597.16,28.31,5.92,38.5,2.67
Connecticut,09,2024,High school graduate or GED completed,3,Northeast,6885,3204.62,604.91,28.37,5.86,38.44,2.67
Connecticut,09,2016,"Some college credit, but not a degree",4,Northeast,6422,3270.78,615.92,28.69,5.46,38.69,2.63
Connecticut,09,2017,"Some college credit, but not a degree",4,Northeast,6371,3263.56,600.96,28.89,5.4,38.71,2.44
Connecticut,09,2018,"Some college credit, but not a degree",4,Northeast,6078,3265.54,601.8,28.9,5.46,38.69,2.57
