region,state,state_code,mother_race,education,education_code,age_of_mother,age_of_mother_code,year,births,avg_birth_weight_grams,sd_birth_weight_grams,avg_mother_age,sd_mother_age,avg_gestational_age_weeks,sd_gestational_age_weeks
Midwest,Illinois,17,American Indian or Alaska Native,8th grade or less,1,Under 15 years,15,2020,,3100.00,0.00,14.00,0.00,35.00,0.00
Midwest,Illinois,17,American Indian or Alaska Native,8th grade or less,1,15-19 years,15-19,2017,,3075.00,195.00,17.00,2.00,38.00,2.00
Midwest,Illinois,17,American Indian or Alaska Native,8th grade or less,1,15-19 years,15-19,2019,,3440.00,0.00,18.00,0.00,39.00,0.00
Midwest,Illinois,17,American Indian or Alaska Native,8th grade or less,1,15-19 years,15-19,2020,,3440.00,0.00,18.00,0.00,40.00,0.00
Midwest,Illinois,17,American Indian or Alaska Native,8th grade or less,1,15-19 years,15-19,2021,,2830.00,140.00,19.00,0.00,38.00,1.00
Midwest,Illinois,17,American Indian or Alaska Native,8th grade or less,1,15-19 years,15-19,2024,,3350.00,0.00,16.00,0.00,38.00,0.00
Midwest,Illinois,17,American Indian or Alaska Native,8th grade or less,1,20-24 years,20-24,2016,,3181.00,463.00,22.50,1.50,39.00,1.00
Midwest,Illinois,17,American Indian or Alaska Native,8th grade or less,1,20-24 years,20-24,2017,,2405.00,0.00,20.00,0.00,39.00,0.00
Midwest,Illinois,17,American Indian or Alaska Native,8th grade or less,1,20-24 years,20-24,2020,,1814.00,0.00,20.00,0.00,33.00,0.00
Midwest,Illinois,17,American Indian or Alaska Native,8th grade or less,1,20-24 years,20-24,2022,,3237.50,737.50,22.00,0.00,38.50,0.50
Midwest,Illinois,17,American Indian or Alaska Native,8th grade or less,1,20-24 years,20-24,2023,,2370.00,0.00,22.00,0.00,34.00,0.00
Midwest,Illinois,17,American Indian or Alaska Native,8th grade or less,1,20-24 years,20-24,2024,,3327.33,173.05,24.00,0.00,37.33,2.05
Midwest,Illinois,17,American Indian or Alaska Native,8th grade or less,1,25-29 years,25-29,2016,,3197.00,489.00,26.00,1.00,41.00,3.00
Midwest,Illinois,17,American Indian or Alaska Native,8th grade or less,1,25-29 years,25-29,2019,,3572.67,729.97,27.33,1.25,38.67,0.94
Midwest,Illinois,17,American Indian or Alaska Native,8th grade or less,1,25-29 years,25-29,2022,,2970.00,300.00,28.00,1.00,39.00,0.00
Midwest,Illinois,17,American Indian or Alaska Native,8th grade or less,1,25-29 years,25-29,2023,,2963.50,365.93,25.00,0.00,38.50,1.12
Midwest,Illinois,17,American Indian or Alaska Native,8th grade or less,1,25-29 years,25-29,2024,,3173.75,333.24,26.88,1.27,37.62,1.41
Midwest,Illinois,17,American Indian or Alaska Native,8th grade or less,1,30-34 years,30-34,2016,,3637.50,7.50,31.00,0.00,38.50,0.50
Midwest,Illinois,17,American Indian or Alaska Native,8th grade or less,1,30-34 years,30-34,2022,,3145.00,351.46,31.75,0.43,38.75,3.19
Midwest,Illinois,17,American Indian or Alaska Native,8th grade or less,1,30-34 years,30-34,2023,,3910.00,0.00,34.00,0.00,39.00,0.00
Midwest,Illinois,17,American Indian or Alaska Native,8th grade or less,1,30-34 years,30-34,2024,,3424.75,176.13,31.50,1.50,39.75,0.83
Midwest,Illinois,17,American Indian or Alaska Native,8th grade or less,1,35-39 years,35-39,2017,,3030.00,0.00,36.00,0.00,40.00,0.00
Midwest,Illinois,17,American Indian or Alaska Native,8th grade or less,1,35-39 years,35-39,2018,,3070.00,0.00,39.00,0.00,39.00,0.00
Midwest,Illinois,17,American Indian or Alaska Native,8th grade or less,1,35-39 years,35-39,2019,,3950.00,0.00,36.00,0.00,39.00,0.00
Midwest,Illinois,17,American Indian or Alaska Native,8th grade or less,1,35-39 years,35-39,2020,,3355.00,0.00,38.00,0.00,39.00,0.00
Midwest,Illinois,17,American Indian or Alaska Native,8th grade or less,1,35-39 years,35-39,2021,,3243.33,526.52,36.00,0.82,36.67,2.05
Midwest,Illinois,17,American Indian or Alaska Native,8th grade or less,1,35-39 years,35-39,2022,,3817.25,404.09,36.50,1.50,39.00,0.71
Midwest,Illinois,17,American Indian or Alaska Native,8th grade or less,1,35-39 years,35-39,2023,,3563.33,201.55,37.67,1.89,39.33,0.47
Midwest,Illinois,17,American Indian or Alaska Native,8th grade or less,1,35-39 years,35-39,2024,,3360.00,0.00,35.00,0.00,40.00,0.00
Midwest,Illinois,17,American Indian or Alaska Native,8th grade or less,1,40-44 years,40-44,2020,,3045.00,0.00,43.00,0.00,38.00,0.00
Midwest,Illinois,17,American Indian or Alaska Native,8th grade or less,1,40-44 years,40-44,2022,,3820.00,0.00,41.00,0.00,39.00,0.00
Midwest,Illinois,17,American Indian or Alaska Native,8th grade or less,1,40-44 years,40-44,2024,,3672.50,162.50,40.50,0.50,37.50,1.50
Midwest,Illinois,17,American Indian or Alaska Native,9th through 12th grade with no diploma,2,15-19 years,15-19,2016,,3506.00,318.37,18.20,0.98,40.40,2.33
Midwest,Illinois,17,American Indian or Alaska Native,9th through 12th grade with no diploma,2,15-19 years,15-19,2017,,3134.00,1063.51,18.20,1.17,36.80,3.06
Midwest,Illinois,17,American Indian or Alaska Native,9th through 12th grade with no diploma,2,15-19 years,15-19,2018,,3430.00,310.00,18.00,1.00,39.50,1.50
Midwest,Illinois,17,American Indian or Alaska Native,9th through 12th grade with no diploma,2,15-19 years,15-19,2019,,2925.50,883.53,17.50,0.50,38.00,6.48
Midwest,Illinois,17,American Indian or Alaska Native,9th through 12th grade with no diploma,2,15-19 years,15-19,2020,,3435.67,376.83,17.67,0.94,39.00,0.82
Midwest,Illinois,17,American Indian or Alaska Native,9th through 12th grade with no diploma,2,15-19 years,15-19,2021,,3179.75,708.02,17.75,1.30,38.75,2.28
Midwest,Illinois,17,American Indian or Alaska Native,9th through 12th grade with no diploma,2,15-19 years,15-19,2022,,3143.50,335.89,17.50,1.38,37.50,2.63
Midwest,Illinois,17,American Indian or Alaska Native,9th through 12th grade with no diploma,2,15-19 years,15-19,2023,,2779.67,458.59,19.00,0.00,37.67,0.94
Midwest,Illinois,17,American Indian or Alaska Native,9th through 12th grade with no diploma,2,15-19 years,15-19,2024,,3242.00,297.10,18.40,0.80,42.00,2.37
Midwest,Illinois,17,American Indian or Alaska Native,9th through 12th grade with no diploma,2,20-24 years,20-24,2016,10,3076.30,863.88,23.00,0.89,38.70,4.29
Midwest,Illinois,17,American Indian or Alaska Native,9th through 12th grade with no diploma,2,20-24 years,20-24,2017,,2875.00,55.00,21.00,1.00,38.00,0.00
Midwest,Illinois,17,American Indian or Alaska Native,9th through 12th grade with no diploma,2,20-24 years,20-24,2018,,3473.57,510.10,22.14,1.55,40.00,2.14
Midwest,Illinois,17,American Indian or Alaska Native,9th through 12th grade with no diploma,2,20-24 years,20-24,2019,,3309.00,291.00,21.50,0.50,38.50,0.50
Midwest,Illinois,17,American Indian or Alaska Native,9th through 12th grade with no diploma,2,20-24 years,20-24,2020,,3319.33,553.90,22.11,1.20,39.44,1.71
Midwest,Illinois,17,American Indian or Alaska Native,9th through 12th grade with no diploma,2,20-24 years,20-24,2021,,3240.00,338.76,22.60,1.02,38.40,1.02
Midwest,Illinois,17,American Indian or Alaska Native,9th through 12th grade with no diploma,2,20-24 years,20-24,2022,,3049.00,535.63,21.83,1.46,37.33,3.99
Midwest,Illinois,17,American Indian or Alaska Native,9th through 12th grade with no diploma,2,20-24 years,20-24,2023,,3629.00,0.00,21.00,0.00,39.00,0.00
Midwest,Illinois,17,American Indian or Alaska Native,9th through 12th grade with no diploma,2,20-24 years,20-24,2024,,2955.67,244.43,21.67,1.70,38.67,1.70
Midwest,Illinois,17,American Indian or Alaska Native,9th through 12th grade with no diploma,2,25-29 years,25-29,2016,,3730.50,340.66,26.50,1.50,39.00,1.22
Midwest,Illinois,17,American Indian or Alaska Native,9th through 12th grade with no diploma,2,25-29 years,25-29,2017,,2935.67,984.19,27.67,0.47,38.67,4.50
Midwest,Illinois,17,American Indian or Alaska Native,9th through 12th grade with no diploma,2,25-29 years,25-29,2018,,3063.00,278.96,26.20,1.17,36.60,2.06
