region,state,state_code,mother_race,year,births,avg_birth_weight_grams,sd_birth_weight_grams,avg_mother_age,sd_mother_age,avg_gestational_age_weeks,sd_gestational_age_weeks
Northeast,Connecticut,09,American Indian or Alaska Native,2016,142,3222.97,556.94,28.04,6.45,38.45,2.62
Northeast,Connecticut,09,American Indian or Alaska Native,2017,165,3307.58,566.73,28.44,6.18,38.87,2.05
Northeast,Connecticut,09,American Indian or Alaska Native,2018,210,3358.84,498.53,28.67,6.33,38.83,2.18
Northeast,Connecticut,09,American Indian or Alaska Native,2019,264,3279.11,559.10,28.98,6.18,38.68,2.54
Northeast,Connecticut,09,American Indian or Alaska Native,2020,269,3241.62,511.47,28.86,6.37,38.60,2.32
Northeast,Connecticut,09,American Indian or Alaska Native,2021,283,3314.06,625.61,28.69,6.45,38.61,2.55
Northeast,Connecticut,09,American Indian or Alaska Native,2022,310,3294.00,559.85,29.32,6.13,38.87,2.39
Northeast,Connecticut,09,American Indian or Alaska Native,2023,296,3254.55,546.73,28.97,6.37,38.41,2.63
Northeast,Connecticut,09,American Indian or Alaska Native,2024,249,3304.08,550.69,28.88,6.10,38.55,2.40
Northeast,Connecticut,09,Asian,2016,2758,3171.81,564.75,31.37,4.73,38.71,2.52
Northeast,Connecticut,09,Asian,2017,2648,3174.11,540.32,31.55,4.89,38.77,2.33
Northeast,Connecticut,09,Asian,2018,2280,3176.78,549.36,31.86,4.73,38.69,2.26
Northeast,Connecticut,09,Asian,2019,2248,3172.82,528.13,31.88,4.61,38.78,2.18
Northeast,Connecticut,09,Asian,2020,2030,3180.57,547.63,32.10,4.63,38.82,2.27
Northeast,Connecticut,09,Asian,2021,1981,3155.16,534.92,32.69,4.47,38.65,2.22
Northeast,Connecticut,09,Asian,2022,1925,3160.51,535.27,32.69,4.61,38.68,2.29
Northeast,Connecticut,09,Asian,2023,1915,3176.39,536.49,32.80,4.70,38.72,2.15
Northeast,Connecticut,09,Asian,2024,1980,3159.00,569.81,32.92,4.55,38.59,2.44
Northeast,Connecticut,09,Black or African American,2016,5355,3144.87,651.00,28.87,6.07,38.33,2.97
Northeast,Connecticut,09,Black or African American,2017,5236,3133.87,659.15,29.00,6.08,38.33,2.98
Northeast,Connecticut,09,Black or African American,2018,5291,3131.10,649.44,29.24,5.95,38.29,2.97
Northeast,Connecticut,09,Black or African American,2019,5209,3140.35,635.58,29.33,6.03,38.35,2.88
Northeast,Connecticut,09,Black or African American,2020,5065,3147.48,647.98,29.37,6.06,38.34,2.92
Northeast,Connecticut,09,Black or African American,2021,5581,3118.27,645.41,29.68,5.97,38.31,2.84
Northeast,Connecticut,09,Black or African American,2022,5619,3124.11,643.12,30.01,5.93,38.30,2.85
Northeast,Connecticut,09,Black or African American,2023,5344,3116.56,645.58,30.18,6.04,38.18,2.90
Northeast,Connecticut,09,Black or African American,2024,5221,3119.03,638.25,30.42,6.14,38.17,2.78
Northeast,Connecticut,09,Native Hawaiian or Other Pacific Islander,2016,22,3392.77,424.78,28.41,5.45,39.00,1.57
Northeast,Connecticut,09,Native Hawaiian or Other Pacific Islander,2017,19,3211.00,778.93,26.53,5.04,38.37,3.63
Northeast,Connecticut,09,Native Hawaiian or Other Pacific Islander,2018,16,3192.75,559.12,29.81,7.63,39.27,1.06
Northeast,Connecticut,09,Native Hawaiian or Other Pacific Islander,2019,18,3296.06,648.75,30.39,6.29,37.83,2.09
Northeast,Connecticut,09,Native Hawaiian or Other Pacific Islander,2020,14,3143.00,409.44,28.79,7.14,39.43,1.92
Northeast,Connecticut,09,Native Hawaiian or Other Pacific Islander,2021,24,3099.04,766.75,28.96,6.91,38.67,3.65
Northeast,Connecticut,09,Native Hawaiian or Other Pacific Islander,2022,29,3233.03,534.97,28.31,6.12,38.66,2.83
Northeast,Connecticut,09,Native Hawaiian or Other Pacific Islander,2023,31,3260.06,420.91,28.87,6.94,38.97,1.84
Northeast,Connecticut,09,Native Hawaiian or Other Pacific Islander,2024,19,3130.26,504.02,29.21,6.23,38.21,2.50
Northeast,Connecticut,09,White,2016,26897,3329.08,581.17,30.49,5.52,38.81,2.37
Northeast,Connecticut,09,White,2017,26292,3321.40,582.45,30.61,5.46,38.84,2.35
Northeast,Connecticut,09,White,2018,26017,3337.11,571.67,30.71,5.45,38.84,2.33
Northeast,Connecticut,09,White,2019,25639,3322.43,574.84,30.87,5.42,38.80,2.34
Northeast,Connecticut,09,White,2020,25210,3324.04,573.62,30.96,5.46,38.80,2.31
Northeast,Connecticut,09,White,2021,26879,3316.27,577.20,31.18,5.30,38.72,2.33
Northeast,Connecticut,09,White,2022,26398,3315.95,571.19,31.34,5.32,38.74,2.30
Northeast,Connecticut,09,White,2023,25784,3314.47,561.71,31.36,5.35,38.75,2.29
Northeast,Connecticut,09,White,2024,26087,3313.94,568.50,31.46,5.36,38.70,2.31
Northeast,Connecticut,09,More than one race,2016,841,3263.24,575.77,28.31,6.23,38.71,2.34
Northeast,Connecticut,09,More than one race,2017,861,3229.02,606.34,28.13,5.93,38.61,2.71
Northeast,Connecticut,09,More than one race,2018,911,3253.37,585.37,28.70,6.05,38.69,2.50
Northeast,Connecticut,09,More than one race,2019,880,3219.60,594.68,28.27,6.03,38.69,2.42
Northeast,Connecticut,09,More than one race,2020,872,3235.88,628.95,28.35,6.00,38.65,2.68
Northeast,Connecticut,09,More than one race,2021,922,3269.51,591.07,29.17,5.76,38.72,2.23
Northeast,Connecticut,09,More than one race,2022,1051,3241.50,580.20,29.56,5.76,38.67,2.49
Northeast,Connecticut,09,More than one race,2023,1189,3228.12,589.43,29.29,5.82,38.57,2.48
Northeast,Connecticut,09,More than one race,2024,1043,3206.51,573.55,29.49,5.94,38.65,2.30
Northeast,Maine,23,American Indian or Alaska Native,2016,97,3339.68,664.75,26.78,5.58,38.64,2.39
Northeast,Maine,23,American Indian or Alaska Native,2017,88,3448.70,563.46,26.72,5.89,39.12,1.88
Northeast,Maine,23,American Indian or Alaska Native,2018,96,3329.58,662.31,27.00,5.54,38.71,2.98
Northeast,Maine,23,American Indian or Alaska Native,2019,96,3317.97,538.01,27.53,5.49,38.70,2.28
Northeast,Maine,23,American Indian or Alaska Native,2020,86,3410.73,621.28,28.64,6.01,38.90,1.92
Northeast,Maine,23,American Indian or Alaska Native,2021,79,3220.19,708.11,28.72,6.15,38.13,3.52
Northeast,Maine,23,American Indian or Alaska Native,2022,83,3232.55,666.82,30.04,6.37,38.23,2.69
Northeast,Maine,23,American Indian or Alaska Native,2023,72,3404.29,538.31,28.96,6.05,38.76,1.83
Northeast,Maine,23,American Indian or Alaska Native,2024,85,3247.80,583.67,28.15,5.66,38.16,2.11
Northeast,Maine,23,Asian,2016,195,3226.34,509.13,30.68,5.16,38.69,2.10
Northeast,Maine,23,Asian,2017,221,3256.11,598.25,31.73,4.68,38.51,2.51
Northeast,Maine,23,Asian,2018,202,3210.50,539.20,31.82,5.06,38.61,2.33
Northeast,Maine,23,Asian,2019,218,3206.17,522.32,32.12,4.79,38.50,2.08
Northeast,Maine,23,Asian,2020,197,3251.31,500.53,31.77,4.60,38.82,1.69
Northeast,Maine,23,Asian,2021,211,3174.19,531.19,31.91,5.60,38.52,2.27
Northeast,Maine,23,Asian,2022,167,3212.86,510.55,32.21,5.46,38.47,2.32
Northeast,Maine,23,Asian,2023,204,3200.74,556.08,32.11,4.80,38.64,2.41
Northeast,Maine,23,Asian,2024,202,3156.79,592.65,32.46,4.30,38.27,2.32
Northeast,Maine,23,Black or African American,2016,419,3227.97,611.08,30.17,5.89,38.77,2.75
Northeast,Maine,23,Black or African American,2017,547,3235.62,590.52,30.32,5.77,38.77,2.41
Northeast,Maine,23,Black or African American,2018,553,3241.06,605.33,30.34,5.74,38.49,2.52
Northeast,Maine,23,Black or African American,2019,552,3272.07,597.13,30.41,5.98,38.63,2.86
Northeast,Maine,23,Black or African American,2020,525,3292.59,631.61,30.70,5.76,38.43,2.67
Northeast,Maine,23,Black or African American,2021,564,3255.54,603.78,30.96,5.85,38.55,2.46
Northeast,Maine,23,Black or African American,2022,705,3191.42,697.80,31.15,5.70,38.19,3.06
Northeast,Maine,23,Black or African American,2023,811,3249.85,629.67,30.88,5.80,38.33,2.71
Northeast,Maine,23,Black or African American,2024,831,3194.44,683.39,31.14,5.68,38.23,2.97
Northeast,Maine,23,Native Hawaiian or Other Pacific Islander,2016,,,,,,,
Northeast,Maine,23,Native Hawaiian or Other Pacific Islander,2017,,,,,,,
Northeast,Maine,23,Native Hawaiian or Other Pacific Islander,2018,,,,,,,
Northeast,Maine,23,Native Hawaiian or Other Pacific Islander,2019,,,,,,,
Northeast,Maine,23,Native Hawaiian or Other Pacific Islander,2020,,,,,,,
Northeast,Maine,23,Native Hawaiian or Other Pacific Islander,2021,,,,,,,
Northeast,Maine,23,Native Hawaiian or Other Pacific Islander,2022,,,,,,,
Northeast,Maine,23,Native Hawaiian or Other Pacific Islander,2023,,,,,,,
Northeast,Maine,23,Native Hawaiian or Other Pacific Islander,2024,,,,,,,
Northeast,Maine,23,White,2016,11705,3370.29,594.53,28.66,5.51,38.95,2.33
Northeast,Maine,23,White,2017,11177,3347.33,594.62,28.83,5.49,38.87,2.32
Northeast,Maine,23,White,2018,11237,3347.05,587.57,29.05,5.44,38.85,2.32
Northeast,Maine,23,White,2019,10643,3343.99,586.22,29.35,5.44,38.77,2.35
Northeast,Maine,23,White,2020,10467,3336.79,589.30,29.47,5.50,38.72,2.32
Northeast,Maine,23,White,2021,10877,3332.86,583.96,29.71,5.37,38.69,2.31
Northeast,Maine,23,White,2022,10936,3318.71,592.29,29.81,5.45,38.67,2.29
Northeast,Maine,23,White,2023,10310,3309.76,582.26,29.95,5.44,38.66,2.26
Northeast,Maine,23,White,2024,10255,3321.83,571.07,30.02,5.50,38.67,2.20
Northeast,Maine,23,More than one race,2016,286,3330.67,623.56,26.84,5.66,38.75,2.52
Northeast,Maine,23,More than one race,2017,261,3327.41,542.33,27.02,6.22,38.74,2.11
Northeast,Maine,23,More than one race,2018,220,3262.50,610.00,27.11,5.42,38.49,3.06
Northeast,Maine,23,More than one race,2019,263,3185.24,653.64,27.56,5.59,38.32,2.77
Northeast,Maine,23,More than one race,2020,259,3258.31,557.11,27.37,5.80,38.69,2.21
Northeast,Maine,23,More than one race,2021,267,3284.38,618.84,28.00,5.88,38.58,2.52
Northeast,Maine,23,More than one race,2022,196,3315.72,550.71,29.25,5.82,38.86,2.04
Northeast,Maine,23,More than one race,2023,223,3249.58,600.57,28.56,5.93,38.56,2.27
Northeast,Maine,23,More than one race,2024,220,3311.45,605.66,28.80,6.14,38.60,1.98
Northeast,Massachusetts,25,American Indian or Alaska Native,2016,93,3375.32,568.13,28.81,6.68,38.86,2.16
Northeast,Massachusetts,25,American Indian or Alaska Native,2017,77,3340.23,482.17,28.26,6.34,38.88,1.86
Northeast,Massachusetts,25,American Indian or Alaska Native,2018,68,3165.32,563.66,29.32,5.64,38.76,2.35
Northeast,Massachusetts,25,American Indian or Alaska Native,2019,106,3199.15,618.03,30.62,6.01,38.19,2.34
Northeast,Massachusetts,25,American Indian or Alaska Native,2020,84,3087.88,713.59,30.79,5.78,38.43,3.33
Northeast,Massachusetts,25,American Indian or Alaska Native,2021,84,3356.04,702.81,29.46,5.36,38.71,2.77
Northeast,Massachusetts,25,American Indian or Alaska Native,2022,79,3197.88,605.24,29.44,6.34,38.81,2.38
Northeast,Massachusetts,25,American Indian or Alaska Native,2023,90,3203.94,707.07,30.14,5.87,38.28,2.96
Northeast,Massachusetts,25,American Indian or Alaska Native,2024,78,3236.45,613.48,30.94,6.09,38.75,1.97
Northeast,Massachusetts,25,Asian,2016,6685,3200.09,529.07,31.69,4.77,38.85,2.16
Northeast,Massachusetts,25,Asian,2017,6398,3185.77,531.44,31.80,4.69,38.80,2.16
Northeast,Massachusetts,25,Asian,2018,6324,3177.10,510.54,32.03,4.55,38.78,2.10
Northeast,Massachusetts,25,Asian,2019,6398,3163.96,526.73,32.18,4.52,38.81,2.25
Northeast,Massachusetts,25,Asian,2020,5969,3167.11,536.49,32.54,4.55,38.74,2.20
Northeast,Massachusetts,25,Asian,2021,5592,3174.16,523.07,32.69,4.42,38.80,2.18
Northeast,Massachusetts,25,Asian,2022,5805,3163.78,528.06,33.04,4.57,38.77,2.21
Northeast,Massachusetts,25,Asian,2023,5446,3164.92,526.92,33.08,4.48,38.71,2.15
Northeast,Massachusetts,25,Asian,2024,5797,3160.58,523.72,33.21,4.45,38.69,2.17
Northeast,Massachusetts,25,Black or African American,2016,9078,3199.95,640.10,29.74,6.08,38.54,2.80
Northeast,Massachusetts,25,Black or African American,2017,9479,3194.10,627.31,29.93,5.97,38.54,2.70
Northeast,Massachusetts,25,Black or African American,2018,9457,3189.33,635.08,30.08,6.02,38.47,2.78
Northeast,Massachusetts,25,Black or African American,2019,9473,3180.57,627.85,30.23,6.03,38.45,2.73
Northeast,Massachusetts,25,Black or African American,2020,9596,3201.41,609.51,30.23,6.02,38.48,2.72
Northeast,Massachusetts,25,Black or African American,2021,9734,3178.53,621.17,30.28,6.02,38.37,2.63
Northeast,Massachusetts,25,Black or African American,2022,10222,3176.92,619.46,30.50,5.93,38.49,2.67
Northeast,Massachusetts,25,Black or African American,2023,10509,3183.59,607.59,30.76,5.93,38.34,2.65
Northeast,Massachusetts,25,Black or African American,2024,11375,3182.88,609.96,30.86,5.95,38.38,2.68
Northeast,Massachusetts,25,Native Hawaiian or Other Pacific Islander,2016,43,3328.16,597.43,28.95,6.45,39.21,2.77
Northeast,Massachusetts,25,Native Hawaiian or Other Pacific Islander,2017,37,3371.76,614.17,31.22,5.41,38.92,2.20
Northeast,Massachusetts,25,Native Hawaiian or Other Pacific Islander,2018,30,3204.37,478.52,30.47,5.25,39.37,1.89
Northeast,Massachusetts,25,Native Hawaiian or Other Pacific Islander,2019,30,3390.33,444.19,29.53,5.52,39.00,2.03
Northeast,Massachusetts,25,Native Hawaiian or Other Pacific Islander,2020,34,3367.47,637.23,29.56,6.45,39.00,2.53
Northeast,Massachusetts,25,Native Hawaiian or Other Pacific Islander,2021,26,2987.19,626.76,30.15,5.76,38.42,3.21
Northeast,Massachusetts,25,Native Hawaiian or Other Pacific Islander,2022,40,3054.43,607.11,27.38,5.92,37.64,3.29
Northeast,Massachusetts,25,Native Hawaiian or Other Pacific Islander,2023,44,3285.48,494.89,31.09,5.09,38.73,1.83
Northeast,Massachusetts,25,Native Hawaiian or Other Pacific Islander,2024,36,3039.78,479.70,30.44,6.74,38.31,2.17
Northeast,Massachusetts,25,White,2016,53762,3340.91,584.02,30.71,5.47,38.94,2.33
Northeast,Massachusetts,25,White,2017,52941,3337.14,576.45,30.83,5.40,38.92,2.31
Northeast,Massachusetts,25,White,2018,51390,3332.95,578.30,31.03,5.38,38.88,2.32
Northeast,Massachusetts,25,White,2019,51221,3324.42,572.18,31.17,5.35,38.86,2.29
Northeast,Massachusetts,25,White,2020,48986,3329.28,563.38,31.32,5.33,38.85,2.23
Northeast,Massachusetts,25,White,2021,51797,3322.68,569.59,31.52,5.22,38.76,2.24
Northeast,Massachusetts,25,White,2022,50459,3313.07,564.31,31.59,5.30,38.80,2.26
Northeast,Massachusetts,25,White,2023,49247,3309.58,563.17,31.56,5.29,38.74,2.26
Northeast,Massachusetts,25,White,2024,48981,3310.60,557.45,31.70,5.29,38.77,2.21
Northeast,Massachusetts,25,More than one race,2016,1656,3293.69,578.36,29.33,6.09,38.93,2.13
Northeast,Massachusetts,25,More than one race,2017,1770,3274.56,571.18,29.59,5.97,38.85,2.30
Northeast,Massachusetts,25,More than one race,2018,1840,3287.73,565.96,29.80,5.79,38.89,2.28
Northeast,Massachusetts,25,More than one race,2019,1889,3272.84,572.27,30.04,6.00,38.85,2.32
Northeast,Massachusetts,25,More than one race,2020,1759,3254.59,557.82,30.28,5.65,38.79,2.35
Northeast,Massachusetts,25,More than one race,2021,1904,3274.34,559.79,30.41,5.68,38.82,2.09
Northeast,Massachusetts,25,More than one race,2022,1979,3256.57,565.27,30.52,5.85,38.79,2.44
Northeast,Massachusetts,25,More than one race,2023,1757,3261.40,566.54,30.64,5.99,38.77,2.37
Northeast,Massachusetts,25,More than one race,2024,1917,3260.86,542.01,30.57,5.83,38.75,2.28
Northeast,New Hampshire,33,American Indian or Alaska Native,2016,11,3565.55,649.69,26.27,4.16,39.82,1.47
Northeast,New Hampshire,33,American Indian or Alaska Native,2017,21,3227.38,584.78,27.95,4.99,38.14,2.64
Northeast,New Hampshire,33,American Indian or Alaska Native,2018,13,3277.85,645.52,22.69,4.87,38.46,2.95
Northeast,New Hampshire,33,American Indian or Alaska Native,2019,15,3476.40,361.04,27.13,5.76,40.00,1.79
Northeast,New Hampshire,33,American Indian or Alaska Native,2020,15,3193.27,538.25,28.00,6.25,39.27,2.26
Northeast,New Hampshire,33,American Indian or Alaska Native,2021,13,3537.92,606.73,30.77,5.77,39.23,2.42
Northeast,New Hampshire,33,American Indian or Alaska Native,2022,10,3021.10,387.35,29.70,6.00,37.70,2.72
Northeast,New Hampshire,33,American Indian or Alaska Native,2023,18,3221.94,413.70,29.28,6.92,38.44,1.83
Northeast,New Hampshire,33,American Indian or Alaska Native,2024,16,3609.62,496.12,31.25,6.08,39.25,1.03
Northeast,New Hampshire,33,Asian,2016,513,3183.96,579.48,31.10,4.47,38.72,2.31
Northeast,New Hampshire,33,Asian,2017,496,3205.57,518.51,30.98,4.86,39.02,2.17
Northeast,New Hampshire,33,Asian,2018,482,3203.89,559.65,31.37,4.98,38.83,2.23
Northeast,New Hampshire,33,Asian,2019,526,3198.85,542.59,31.78,4.56,38.66,2.28
Northeast,New Hampshire,33,Asian,2020,441,3181.89,510.88,31.48,4.77,38.94,2.13
Northeast,New Hampshire,33,Asian,2021,441,3208.39,550.02,32.12,4.78,38.85,2.21
Northeast,New Hampshire,33,Asian,2022,450,3129.26,593.46,32.70,4.35,38.55,2.57
Northeast,New Hampshire,33,Asian,2023,420,3185.13,553.89,32.70,4.45,38.70,2.06
Northeast,New Hampshire,33,Asian,2024,461,3246.89,539.52,32.93,4.82,38.88,1.89
Northeast,New Hampshire,33,Black or African American,2016,307,3246.18,641.09,29.50,5.59,38.64,3.01
Northeast,New Hampshire,33,Black or African American,2017,296,3246.47,615.57,29.09,6.15,38.56,2.73
Northeast,New Hampshire,33,Black or African American,2018,328,3234.64,689.43,30.04,6.17,38.48,2.92
Northeast,New Hampshire,33,Black or African American,2019,326,3199.76,592.66,29.60,5.68,38.55,2.50
Northeast,New Hampshire,33,Black or African American,2020,309,3220.25,694.96,29.65,5.85,38.17,3.44
